Date,Actual,Forecast,Anomaly
02/01/2017,63.099998,61.82563279,False,QP
03/01/2017,64,61.72708383,False,QP
04/01/2017,64.900002,61.82049282,False,QP
05/01/2017,64.699997,62.11845144,False,QP
08/01/2017,64.599998,62.5285266,False,QP
09/01/2017,64.5,62.71141088,False,QP
10/01/2017,64.800003,62.56948458,False,QP
11/01/2017,64.5,62.4982913,False,QP
12/01/2017,64.5,62.8292525,False,QP
15/01/2017,65,62.77617746,False,QP
16/01/2017,65.400002,63.148241,False,QP
17/01/2017,66.400002,64.09633158,False,QP
18/01/2017,65.900002,64.87882429,False,QP
22/01/2017,66.599998,64.72960129,False,QP
23/01/2017,66.900002,64.52456893,False,QP
24/01/2017,67.300003,64.54849515,False,QP
25/01/2017,67.699997,64.76930284,False,QP
26/01/2017,69.699997,64.58099502,False,QP
29/01/2017,68.800003,64.37933402,False,QP
30/01/2017,68.400002,65.10431954,False,QP
31/01/2017,67.699997,65.29542691,False,QP
01/02/2017,69.699997,66.4091883,False,QP
02/02/2017,67.800003,65.77706302,False,QP
05/02/2017,68,66.84100622,False,QP
06/02/2017,68.199997,66.71919404,False,QP
07/02/2017,68.400002,67.3557112,False,QP
08/02/2017,68.400002,67.79819014,False,QP
09/02/2017,67.800003,69.76766734,False,QP
12/02/2017,67.900002,68.6678433,False,QP
13/02/2017,67.900002,68.38095381,False,QP
15/02/2017,67.900002,67.81898106,False,QP
16/02/2017,68.099998,69.6357462,False,QP
19/02/2017,68.900002,67.84268509,False,QP
20/02/2017,68.300003,67.96105975,False,QP
21/02/2017,68.5,68.27906189,False,QP
22/02/2017,68.699997,68.3512534,False,QP
23/02/2017,69.699997,68.40831898,False,QP
26/02/2017,69.800003,67.79720501,False,QP
27/02/2017,71,68.00612347,False,QP
28/02/2017,69.5,67.74175368,False,QP
01/03/2017,69.5,67.9716191,False,QP
02/03/2017,69.199997,67.99956379,False,QP
05/03/2017,69.199997,68.91734031,False,QP
06/03/2017,68.599998,68.26009267,False,QP
07/03/2017,68,68.57257979,False,QP
08/03/2017,69,68.6966905,False,QP
09/03/2017,69.099998,69.73145914,False,QP
12/03/2017,69,69.93322537,False,QP
13/03/2017,68.699997,70.94217785,False,QP
14/03/2017,68.599998,69.46856345,False,QP
15/03/2017,68,69.42994774,False,QP
16/03/2017,69,69.30876917,False,QP
19/03/2017,68.300003,69.09801616,False,QP
20/03/2017,68.400002,68.65478149,False,QP
21/03/2017,68.099998,67.98560754,False,QP
22/03/2017,68,69.03010277,False,QP
23/03/2017,68,69.06490376,False,QP
26/03/2017,68,69.05904253,False,QP
27/03/2017,67.5,68.64342344,False,QP
28/03/2017,67.5,68.61306091,False,QP
29/03/2017,67.699997,68.02873074,False,QP
30/03/2017,68.5,69.01981545,False,QP
04/04/2017,65.900002,68.22475275,False,QP
05/04/2017,66,68.48065098,False,QP
06/04/2017,65.099998,67.90728909,False,QP
11/04/2017,64.199997,68.07105268,False,QP
12/04/2017,64.300003,68.04525419,False,QP
13/04/2017,64,68.04041911,False,QP
16/04/2017,63.700001,67.45382402,False,QP
17/04/2017,63.799999,67.63318123,False,QP
18/04/2017,64,67.74842991,False,QP
19/04/2017,63.5,68.38111275,False,QP
20/04/2017,62.599998,65.94306494,False,QP
23/04/2017,63,65.96663332,False,QP
24/04/2017,62.599998,65.00869114,False,QP
25/04/2017,62.400002,64.28147785,False,QP
26/04/2017,63.200001,64.33687256,False,QP
27/04/2017,62.799999,63.9541057,False,QP
30/04/2017,61.799999,63.7105203,False,QP
01/05/2017,61.799999,63.84583555,False,QP
02/05/2017,61,63.88659665,False,QP
03/05/2017,60.900002,63.50175223,False,QP
04/05/2017,60.700001,62.65341052,False,QP
07/05/2017,60.099998,62.98190975,False,QP
08/05/2017,60,62.59562384,False,QP
09/05/2017,60.299999,62.48902189,False,QP
10/05/2017,61.099998,63.21775867,False,QP
11/05/2017,61.400002,62.81618366,False,QP
14/05/2017,61,61.82843012,False,QP
15/05/2017,61.400002,61.75728184,False,QP
16/05/2017,61.299999,60.94605076,False,QP
17/05/2017,61,60.90286198,False,QP
18/05/2017,60.700001,60.67202908,False,QP
21/05/2017,60.400002,60.06479245,False,QP
22/05/2017,60.5,59.98791113,False,QP
23/05/2017,60.5,60.36692715,False,QP
24/05/2017,60.799999,61.14646966,False,QP
25/05/2017,61.099998,61.39524592,False,QP
28/05/2017,61,61.0301397,False,QP
29/05/2017,61.299999,61.41412413,False,QP
30/05/2017,61.299999,61.27603081,False,QP
31/05/2017,61,60.9776159,False,QP
01/06/2017,60.900002,60.68441744,False,QP
04/06/2017,60.700001,60.38262019,False,QP
05/06/2017,54.700001,60.26651631,TRUE,QP
06/06/2017,52.200001,60.55146498,TRUE,QP
07/06/2017,52.700001,60.64256567,TRUE,QP
08/06/2017,54.200001,61.25327173,TRUE,QP
11/06/2017,52.599998,61.24382614,TRUE,QP
12/06/2017,53.5,61.61744055,TRUE,QP
13/06/2017,53.799999,61.03875503,TRUE,QP
14/06/2017,55,61.18592604,TRUE,QP
15/06/2017,55.900002,61.03160494,False,QP
18/06/2017,54.700001,60.49984851,TRUE,QP
19/06/2017,54.299999,54.44897792,False,QP
20/06/2017,53.599998,52.14795235,False,QP
21/06/2017,54.099998,52.76207297,False,QP
22/06/2017,55.599998,54.18635548,False,QP
02/07/2017,54.400002,52.63624774,False,QP
03/07/2017,54,53.53165521,False,QP
04/07/2017,54.799999,53.81628125,False,QP
05/07/2017,54.200001,54.96570018,False,QP
06/07/2017,54,55.93575484,False,QP
09/07/2017,54.099998,54.71872558,False,QP
10/07/2017,54.599998,54.19990292,False,QP
11/07/2017,54.5,53.63485092,False,QP
12/07/2017,55,54.26585315,False,QP
16/07/2017,55.200001,55.48955499,False,QP
17/07/2017,55.900002,54.42062242,False,QP
18/07/2017,56.400002,54.03857233,False,QP
19/07/2017,57.200001,54.82051972,False,QP
20/07/2017,58.400002,54.18118228,False,QP
23/07/2017,57.700001,53.96473696,False,QP
